Week Start,Strategy,Date Added,Stock Symbol,Entry Price,Weekend Price (Friday),Status
01-June-2026,Codex Milega Hilega Weekly,06-June-2026,DENORA,765.5,-,IN (in strategy still)
01-June-2026,Codex Milega Hilega Weekly,06-June-2026,PRIMESECU,300.9,-,IN (in strategy still)
01-June-2026,Codex Milega Hilega Weekly,06-June-2026,SSWL,226.89,-,IN (in strategy still)
01-June-2026,Codex Milega Hilega Weekly,06-June-2026,SGIL,571.3,-,IN (in strategy still)
01-June-2026,Codex Milega Hilega Weekly,06-June-2026,LIQUIDETF,1000,-,IN (in strategy still)
01-June-2026,Codex Milega Hilega Weekly,06-June-2026,AURUM,190.08,-,IN (in strategy still)
01-June-2026,Jyoti Budhiya 15M Breakout,06-June-2026,ACUTAAS,3328.3,-,IN (in strategy still)
08-June-2026,Codex Milega Hilega Weekly,09-June-2026,COMSYN,162.3,171.07,IN (in strategy still)
08-June-2026,Jyoti Budhiya 15M Breakout,09-June-2026,FEDERALBNK,314.4,316.0,OUT (Not in Strategy)
08-June-2026,Jyoti Budhiya 15M Breakout,09-June-2026,J&KBANK,155.07,157.35,OUT (Not in Strategy)
08-June-2026,Codex Milega Hilega Weekly,10-June-2026,EASEMYTRIP,8.86,8.35,OUT (Not in Strategy)
08-June-2026,Codex Milega Hilega Weekly,10-June-2026,LIQUID,1000,1000,OUT (Not in Strategy)
08-June-2026,Codex Milega Hilega Weekly,11-June-2026,GLFL,6.32,6.12,IN (in strategy still)
08-June-2026,Codex Milega Hilega Weekly,12-June-2026,NIBL,30.73,31,OUT (Not in Strategy)
08-June-2026,Jyoti Budhiya 15M Breakout,12-June-2026,CAPLIPOINT,2417.3,2417.3,OUT (Not in Strategy)
08-June-2026,Codex Milega Hilega Weekly,12-June-2026,AXISBANK,1331.8,1356.3,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,15-June-2026,COMSYN,169.9,164.77,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,15-June-2026,GLFL,6.12,7.34,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,15-June-2026,AXISBANK,1356.3,1356.9,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,15-June-2026,MAHABANK,88.98,90.06,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,15-June-2026,CGCL,212.62,220.67,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,15-June-2026,AARTIIND,501.3,486.6,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,16-June-2026,ARVSMART,623.05,612.35,IN (in strategy still)
15-June-2026,Jyoti Budhiya 15M Breakout,16-June-2026,RRKABEL,2258.3,2311.1,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,16-June-2026,LALPATHLAB,1771.5,1626.1,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,PANSARI,332,295.3,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,17-June-2026,YESBANK,25.32,25.38,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,LIQUID,1000,1000,IN (in strategy still)
15-June-2026,Jyoti Budhiya 15M Breakout,17-June-2026,POLYCAB,9936.5,10043.5,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,ORTEL,1.68,1.54,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,17-June-2026,NUVAMA,1705.8,1726.0,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,EIFFL,298.57,345,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,FUSION,181.52,179.61,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,17-June-2026,AEGISLOG,1012,1007.85,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,OBEROIRLTY,1684.4,1688.5,IN (in strategy still)
15-June-2026,Jyoti Budhiya 15M Breakout,17-June-2026,IFCI,94.6,85.13,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,EMIL,119.05,120.9,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,17-June-2026,EDELWEISS,120.1,124.54,IN (in strategy still)
15-June-2026,Jyoti Budhiya 15M Breakout,18-June-2026,CARBORUNIV,1251.7,1272.4,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,18-June-2026,NIACL,184.24,200.9,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,18-June-2026,VISACHROME,44,42.5,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,18-June-2026,J&KBANK,166.7,162.7,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,18-June-2026,SUYOG,815.5,816,IN (in strategy still)
15-June-2026,Jyoti Budhiya 15M Breakout,18-June-2026,NYKAA,295.55,302.0,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,18-June-2026,DYCL,361.9,367,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,18-June-2026,GNA,436.9,412,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,18-June-2026,DMART,4303.5,4297.6,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,AMBER,8080,8010,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,19-June-2026,CRAFTSMAN,9784,9869.5,OUT (Not in Strategy)
15-June-2026,Jyoti Budhiya 15M Breakout,19-June-2026,PIDILITIND,1593.8,1593.8,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,MORARJEE,9.55,9.55,IN (in strategy still)
15-June-2026,Jyoti Budhiya 15M Breakout,19-June-2026,CAPLIPOINT,2454.7,2528,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,GOKEX,815.3,817.5,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,MACPOWER,1157.8,1174,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,SMLMAH,4062.4,4104,IN (in strategy still)
15-June-2026,Jyoti Budhiya 15M Breakout,19-June-2026,FEDERALBNK,324.55,324.55,OUT (Not in Strategy)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,AADHARHFC,512.8,521,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,ECAPINSURE,24.71,24.75,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,VHLTD,143.75,143.75,IN (in strategy still)
15-June-2026,Codex Milega Hilega Weekly,19-June-2026,SPLPETRO,749.45,749.45,IN (in strategy still)
22-June-2026,Jyoti Budhiya 15M Breakout,22-June-2026,CAPLIPOINT,2503.5,2503.2,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,AADHARHFC,515.1,517.9,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,EDELWEISS,124.71,122.3,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,DYCL,366.75,373.5,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,EMIL,120.86,118.62,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,SPLPETRO,750.25,744.55,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,NIACL,202.31,184.18,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,OBEROIRLTY,1683.5,1760.0,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,GNA,413.15,435.0,OUT (Not in Strategy)
22-June-2026,Codex Milega Hilega Weekly,22-June-2026,SUYOG,813.05,812.0,OUT (Not in Strategy)
